Epoch,Loss,Training Accuracy,Testing Accuracy,Evaluation Time
2,3.502,15.76,17.16,0.72
4,3.113,22.47,22.91,1.43
6,2.8647,27.46,26.07,2.13
8,2.681,31.19,27.79,2.85
10,2.5338,34.2,29.38,3.57
12,2.4061,36.96,30.28,4.31
14,2.2852,39.31,29.73,4.98
16,2.1782,41.68,30.08,5.69
18,2.0739,44.02,29.66,6.36
20,1.989,45.59,29.83,7.01
22,1.9013,47.47,29.98,7.64
24,1.8163,49.85,30.0,8.25
26,1.748,51.11,29.1,8.99
28,1.6742,52.81,29.14,9.59
30,1.6204,54.09,29.07,10.16
32,1.5635,55.36,29.38,10.86
34,1.5077,56.73,29.19,11.51
36,1.4605,57.91,28.32,12.24
38,1.4149,58.79,28.8,12.96
40,1.3678,60.03,28.43,13.69
42,1.3309,60.72,27.95,14.44
44,1.2969,61.64,28.38,15.18
46,1.2711,62.53,28.53,16.74
48,1.2205,63.59,28.49,17.47
50,1.2075,63.99,28.04,21.47
52,1.1579,65.36,28.26,22.14
54,1.1395,65.81,27.8,22.77
56,1.1163,66.27,27.79,23.5
58,1.0913,66.94,27.72,24.16
60,1.0681,67.19,27.94,24.84
62,1.0485,68.04,27.48,25.57
64,1.0233,68.65,27.61,26.22
66,1.0081,69.05,27.33,26.91
68,0.9868,69.73,27.71,27.6
70,0.9639,70.51,27.31,28.32
72,0.9517,70.82,27.53,29.05
74,0.9231,71.47,27.3,29.77
76,0.8945,72.08,27.0,30.5
78,0.9024,71.8,26.83,31.24
80,0.8857,72.43,27.3,31.85
82,0.8633,73.05,27.23,32.39
84,0.8578,72.86,27.19,33.1
86,0.844,73.56,26.66,33.8
88,0.8312,73.83,26.52,34.39
90,0.8123,74.3,26.78,35.1
92,0.8026,74.65,26.48,35.82
94,0.7956,74.79,27.07,36.39
96,0.7778,75.27,26.65,37.09
98,0.7675,75.5,26.63,37.81
100,0.7596,75.94,26.96,38.53
