Epoch,Loss,Training Accuracy,Testing Accuracy,Evaluation Time
2,3.1509,21.85,24.28,0.75
4,2.6292,31.76,29.72,1.41
6,2.3032,38.68,33.26,2.18
8,2.4045,36.61,34.21,2.9
10,1.956,46.29,35.35,3.47
12,2.1189,42.67,34.98,4.22
14,1.9369,46.7,36.59,4.95
16,1.9674,46.07,37.05,5.67
18,1.7973,50.23,36.06,6.34
20,1.8812,47.77,31.62,7.07
22,1.9756,46.05,31.4,7.77
24,2.5363,34.05,32.36,8.51
26,2.0235,44.52,36.02,9.25
28,1.8099,49.59,37.09,9.96
30,1.5979,54.84,37.75,10.73
32,1.4015,59.28,37.93,11.47
34,1.2807,62.26,37.6,12.16
36,1.1643,65.04,36.16,12.79
38,1.4772,57.17,36.89,13.52
40,1.1548,65.6,36.88,14.29
42,1.9941,50.25,28.49,14.95
44,1.656,52.81,35.41,15.65
46,1.2487,63.06,36.93,16.39
48,1.4894,58.56,31.31,17.17
50,1.7171,51.4,34.77,17.94
52,1.2885,61.94,37.64,18.66
54,1.1789,64.52,37.37,19.4
56,0.8362,74.77,36.99,20.1
58,1.1789,64.48,35.15,20.82
60,0.9672,70.39,37.52,21.58
62,0.9549,70.34,37.18,22.33
64,0.6633,79.48,36.96,23.02
66,0.8838,73.5,35.26,23.68
68,1.7812,53.13,33.29,24.44
70,0.937,71.41,36.61,25.2
72,0.7246,77.52,36.97,25.94
74,0.6197,80.43,36.71,26.65
76,0.4897,84.42,36.9,27.38
78,0.4211,86.61,36.86,28.04
80,0.5769,81.23,36.52,28.78
82,1.3268,61.74,34.09,29.45
84,0.6914,77.77,36.71,30.22
86,2.3206,42.48,30.05,30.92
88,1.461,57.14,33.66,31.63
90,1.2473,62.48,34.29,32.34
92,0.9809,69.83,35.54,33.06
94,1.43,57.81,33.75,33.81
96,1.241,62.49,33.89,34.55
98,0.9976,68.85,35.39,35.27
100,1.2163,65.34,32.04,35.93
