Epoch,Loss,Training Accuracy,Testing Accuracy,Evaluation Time (minutes)
2,3.2895,18.76,22.16,0.76
4,2.6462,31.06,30.67,1.54
6,2.2871,38.45,33.87,2.34
8,2.016,44.65,36.57,3.12
10,1.7993,49.71,36.64,3.9
12,1.6084,54.08,37.49,4.68
14,1.4369,58.32,36.61,5.44
16,1.2808,62.08,36.2,6.45
18,1.1519,65.72,37.34,7.66
20,1.0438,68.13,36.49,8.46
22,0.9382,71.2,36.85,9.19
24,0.8488,73.6,36.45,9.97
26,0.7776,75.61,35.58,10.7
28,0.7095,77.63,35.24,11.39
30,0.6619,78.97,35.44,12.21
32,0.6061,80.63,35.09,13.01
34,0.5586,81.77,35.76,13.81
36,0.5287,82.59,35.64,14.62
38,0.5016,83.65,34.74,15.4
40,0.473,84.52,34.75,16.17
42,0.4419,85.41,35.14,16.95
44,0.4261,85.99,34.85,20.49
46,0.3917,86.98,35.61,21.21
48,0.3761,87.59,35.38,21.94
50,0.3798,87.36,35.51,22.65
52,0.3497,88.55,35.25,27.0
54,0.3519,88.29,34.98,27.73
56,0.3194,89.4,35.53,28.45
58,0.3237,89.23,35.41,29.22
60,0.3047,89.87,35.28,29.92
62,0.3103,89.59,35.31,30.67
64,0.287,90.43,35.12,31.45
66,0.2867,90.32,34.61,32.23
68,0.2663,91.23,34.46,32.99
70,0.2666,91.32,34.82,33.8
72,0.2627,91.36,35.03,34.45
74,0.2685,91.15,34.87,35.23
76,0.23,92.32,35.03,36.02
78,0.2464,91.82,35.28,36.77
80,0.2359,92.13,36.01,37.58
82,0.2161,92.78,35.04,38.38
84,0.2216,92.58,35.07,39.1
86,0.2163,92.75,34.79,39.88
88,0.221,92.7,35.08,40.63
90,0.2065,93.14,35.35,41.4
92,0.2093,93.13,34.92,42.15
94,0.2066,93.1,35.62,42.93
96,0.2188,92.85,35.35,43.71
98,0.1935,93.59,35.58,44.51
100,0.2069,93.09,35.67,45.28
