Epoch [2/100], Loss: 3.1509, Training Accuracy: 21.85%, Testing Accuracy: 24.28%, Evaluation Time: 0.75 minutes.
Epoch [4/100], Loss: 2.6292, Training Accuracy: 31.76%, Testing Accuracy: 29.72%, Evaluation Time: 1.41 minutes.
Epoch [6/100], Loss: 2.3032, Training Accuracy: 38.68%, Testing Accuracy: 33.26%, Evaluation Time: 2.18 minutes.
Epoch [8/100], Loss: 2.4045, Training Accuracy: 36.61%, Testing Accuracy: 34.21%, Evaluation Time: 2.90 minutes.
Epoch [10/100], Loss: 1.9560, Training Accuracy: 46.29%, Testing Accuracy: 35.35%, Evaluation Time: 3.47 minutes.
Epoch [12/100], Loss: 2.1189, Training Accuracy: 42.67%, Testing Accuracy: 34.98%, Evaluation Time: 4.22 minutes.
Epoch [14/100], Loss: 1.9369, Training Accuracy: 46.70%, Testing Accuracy: 36.59%, Evaluation Time: 4.95 minutes.
Epoch [16/100], Loss: 1.9674, Training Accuracy: 46.07%, Testing Accuracy: 37.05%, Evaluation Time: 5.67 minutes.
Epoch [18/100], Loss: 1.7973, Training Accuracy: 50.23%, Testing Accuracy: 36.06%, Evaluation Time: 6.34 minutes.
Epoch [20/100], Loss: 1.8812, Training Accuracy: 47.77%, Testing Accuracy: 31.62%, Evaluation Time: 7.07 minutes.
Epoch [22/100], Loss: 1.9756, Training Accuracy: 46.05%, Testing Accuracy: 31.40%, Evaluation Time: 7.77 minutes.
Epoch [24/100], Loss: 2.5363, Training Accuracy: 34.05%, Testing Accuracy: 32.36%, Evaluation Time: 8.51 minutes.
Epoch [26/100], Loss: 2.0235, Training Accuracy: 44.52%, Testing Accuracy: 36.02%, Evaluation Time: 9.25 minutes.
Epoch [28/100], Loss: 1.8099, Training Accuracy: 49.59%, Testing Accuracy: 37.09%, Evaluation Time: 9.96 minutes.
Epoch [30/100], Loss: 1.5979, Training Accuracy: 54.84%, Testing Accuracy: 37.75%, Evaluation Time: 10.73 minutes.
Epoch [32/100], Loss: 1.4015, Training Accuracy: 59.28%, Testing Accuracy: 37.93%, Evaluation Time: 11.47 minutes.
Epoch [34/100], Loss: 1.2807, Training Accuracy: 62.26%, Testing Accuracy: 37.60%, Evaluation Time: 12.16 minutes.
